channel_index,group,timestep,band,role,rgb_role
0,Sentinel-2,0,B1,optical_multispectral,
1,Sentinel-2,0,B2,optical_multispectral,B
2,Sentinel-2,0,B3,optical_multispectral,G
3,Sentinel-2,0,B4,optical_multispectral,R
4,Sentinel-2,0,B5,optical_multispectral,
5,Sentinel-2,0,B6,optical_multispectral,
6,Sentinel-2,0,B7,optical_multispectral,
7,Sentinel-2,0,B8,optical_multispectral,
8,Sentinel-2,0,B8A,optical_multispectral,
9,Sentinel-2,0,B9,optical_multispectral,
10,Sentinel-2,0,B10,optical_multispectral,
11,Sentinel-2,0,B11,optical_multispectral,
12,Sentinel-2,0,B12,optical_multispectral,
13,Sentinel-2,1,B1,optical_multispectral,
14,Sentinel-2,1,B2,optical_multispectral,B
15,Sentinel-2,1,B3,optical_multispectral,G
16,Sentinel-2,1,B4,optical_multispectral,R
17,Sentinel-2,1,B5,optical_multispectral,
18,Sentinel-2,1,B6,optical_multispectral,
19,Sentinel-2,1,B7,optical_multispectral,
20,Sentinel-2,1,B8,optical_multispectral,
21,Sentinel-2,1,B8A,optical_multispectral,
22,Sentinel-2,1,B9,optical_multispectral,
23,Sentinel-2,1,B10,optical_multispectral,
24,Sentinel-2,1,B11,optical_multispectral,
25,Sentinel-2,1,B12,optical_multispectral,
26,Sentinel-2,2,B1,optical_multispectral,
27,Sentinel-2,2,B2,optical_multispectral,B
28,Sentinel-2,2,B3,optical_multispectral,G
29,Sentinel-2,2,B4,optical_multispectral,R
30,Sentinel-2,2,B5,optical_multispectral,
31,Sentinel-2,2,B6,optical_multispectral,
32,Sentinel-2,2,B7,optical_multispectral,
33,Sentinel-2,2,B8,optical_multispectral,
34,Sentinel-2,2,B8A,optical_multispectral,
35,Sentinel-2,2,B9,optical_multispectral,
36,Sentinel-2,2,B10,optical_multispectral,
37,Sentinel-2,2,B11,optical_multispectral,
38,Sentinel-2,2,B12,optical_multispectral,
39,Sentinel-2,3,B1,optical_multispectral,
40,Sentinel-2,3,B2,optical_multispectral,B
41,Sentinel-2,3,B3,optical_multispectral,G
42,Sentinel-2,3,B4,optical_multispectral,R
43,Sentinel-2,3,B5,optical_multispectral,
44,Sentinel-2,3,B6,optical_multispectral,
45,Sentinel-2,3,B7,optical_multispectral,
46,Sentinel-2,3,B8,optical_multispectral,
47,Sentinel-2,3,B8A,optical_multispectral,
48,Sentinel-2,3,B9,optical_multispectral,
49,Sentinel-2,3,B10,optical_multispectral,
50,Sentinel-2,3,B11,optical_multispectral,
51,Sentinel-2,3,B12,optical_multispectral,
52,cloud_probability,0,cloud_prob,cloud_mask_feature,
53,cloud_probability,1,cloud_prob,cloud_mask_feature,
54,cloud_probability,2,cloud_prob,cloud_mask_feature,
55,cloud_probability,3,cloud_prob,cloud_mask_feature,
56,Sentinel-1,0,VV,sar_feature,
57,Sentinel-1,0,VH,sar_feature,
58,Sentinel-1,1,VV,sar_feature,
59,Sentinel-1,1,VH,sar_feature,
60,Sentinel-1,2,VV,sar_feature,
61,Sentinel-1,2,VH,sar_feature,
62,Sentinel-1,3,VV,sar_feature,
63,Sentinel-1,3,VH,sar_feature,
