split,category,count,percentage,total_samples,threshold_definition,source_file,precision_note
train,Tidak terdeteksi,410,26.692708333333332,1536,cloud_fraction = 0%,analysis_outputs_v2/tables/cloud_timestep_conditions.csv,"Fraksi mask berasal dari preprocessing canonical TIFF float32 sebelum ekspor NPZ float16. Pada test set, 51 sampel tidak memiliki piksel mask > 0,5 sehingga tersedia 141 sampel mask-only. Re-threshold NPZ float16 menghasilkan 140 karena satu sampel membulat di sekitar ambang 0,5; angka primer tetap 141."
train,Ringan,868,56.510416666666664,1536,0% < cloud_fraction <= 10%,analysis_outputs_v2/tables/cloud_timestep_conditions.csv,"Fraksi mask berasal dari preprocessing canonical TIFF float32 sebelum ekspor NPZ float16. Pada test set, 51 sampel tidak memiliki piksel mask > 0,5 sehingga tersedia 141 sampel mask-only. Re-threshold NPZ float16 menghasilkan 140 karena satu sampel membulat di sekitar ambang 0,5; angka primer tetap 141."
train,Sedang,76,4.947916666666667,1536,10% < cloud_fraction <= 30%,analysis_outputs_v2/tables/cloud_timestep_conditions.csv,"Fraksi mask berasal dari preprocessing canonical TIFF float32 sebelum ekspor NPZ float16. Pada test set, 51 sampel tidak memiliki piksel mask > 0,5 sehingga tersedia 141 sampel mask-only. Re-threshold NPZ float16 menghasilkan 140 karena satu sampel membulat di sekitar ambang 0,5; angka primer tetap 141."
train,Berat,182,11.848958333333334,1536,cloud_fraction > 30%,analysis_outputs_v2/tables/cloud_timestep_conditions.csv,"Fraksi mask berasal dari preprocessing canonical TIFF float32 sebelum ekspor NPZ float16. Pada test set, 51 sampel tidak memiliki piksel mask > 0,5 sehingga tersedia 141 sampel mask-only. Re-threshold NPZ float16 menghasilkan 140 karena satu sampel membulat di sekitar ambang 0,5; angka primer tetap 141."
validation,Tidak terdeteksi,54,28.125,192,cloud_fraction = 0%,analysis_outputs_v2/tables/cloud_timestep_conditions.csv,"Fraksi mask berasal dari preprocessing canonical TIFF float32 sebelum ekspor NPZ float16. Pada test set, 51 sampel tidak memiliki piksel mask > 0,5 sehingga tersedia 141 sampel mask-only. Re-threshold NPZ float16 menghasilkan 140 karena satu sampel membulat di sekitar ambang 0,5; angka primer tetap 141."
validation,Ringan,118,61.458333333333336,192,0% < cloud_fraction <= 10%,analysis_outputs_v2/tables/cloud_timestep_conditions.csv,"Fraksi mask berasal dari preprocessing canonical TIFF float32 sebelum ekspor NPZ float16. Pada test set, 51 sampel tidak memiliki piksel mask > 0,5 sehingga tersedia 141 sampel mask-only. Re-threshold NPZ float16 menghasilkan 140 karena satu sampel membulat di sekitar ambang 0,5; angka primer tetap 141."
validation,Sedang,5,2.6041666666666665,192,10% < cloud_fraction <= 30%,analysis_outputs_v2/tables/cloud_timestep_conditions.csv,"Fraksi mask berasal dari preprocessing canonical TIFF float32 sebelum ekspor NPZ float16. Pada test set, 51 sampel tidak memiliki piksel mask > 0,5 sehingga tersedia 141 sampel mask-only. Re-threshold NPZ float16 menghasilkan 140 karena satu sampel membulat di sekitar ambang 0,5; angka primer tetap 141."
validation,Berat,15,7.8125,192,cloud_fraction > 30%,analysis_outputs_v2/tables/cloud_timestep_conditions.csv,"Fraksi mask berasal dari preprocessing canonical TIFF float32 sebelum ekspor NPZ float16. Pada test set, 51 sampel tidak memiliki piksel mask > 0,5 sehingga tersedia 141 sampel mask-only. Re-threshold NPZ float16 menghasilkan 140 karena satu sampel membulat di sekitar ambang 0,5; angka primer tetap 141."
test,Tidak terdeteksi,51,26.5625,192,cloud_fraction = 0%,analysis_outputs_v2/tables/cloud_timestep_conditions.csv,"Fraksi mask berasal dari preprocessing canonical TIFF float32 sebelum ekspor NPZ float16. Pada test set, 51 sampel tidak memiliki piksel mask > 0,5 sehingga tersedia 141 sampel mask-only. Re-threshold NPZ float16 menghasilkan 140 karena satu sampel membulat di sekitar ambang 0,5; angka primer tetap 141."
test,Ringan,108,56.25,192,0% < cloud_fraction <= 10%,analysis_outputs_v2/tables/cloud_timestep_conditions.csv,"Fraksi mask berasal dari preprocessing canonical TIFF float32 sebelum ekspor NPZ float16. Pada test set, 51 sampel tidak memiliki piksel mask > 0,5 sehingga tersedia 141 sampel mask-only. Re-threshold NPZ float16 menghasilkan 140 karena satu sampel membulat di sekitar ambang 0,5; angka primer tetap 141."
test,Sedang,10,5.208333333333333,192,10% < cloud_fraction <= 30%,analysis_outputs_v2/tables/cloud_timestep_conditions.csv,"Fraksi mask berasal dari preprocessing canonical TIFF float32 sebelum ekspor NPZ float16. Pada test set, 51 sampel tidak memiliki piksel mask > 0,5 sehingga tersedia 141 sampel mask-only. Re-threshold NPZ float16 menghasilkan 140 karena satu sampel membulat di sekitar ambang 0,5; angka primer tetap 141."
test,Berat,23,11.979166666666666,192,cloud_fraction > 30%,analysis_outputs_v2/tables/cloud_timestep_conditions.csv,"Fraksi mask berasal dari preprocessing canonical TIFF float32 sebelum ekspor NPZ float16. Pada test set, 51 sampel tidak memiliki piksel mask > 0,5 sehingga tersedia 141 sampel mask-only. Re-threshold NPZ float16 menghasilkan 140 karena satu sampel membulat di sekitar ambang 0,5; angka primer tetap 141."
