split,timestep,n,mean,std,min,q1,median,q3,max
train,t0,1536,0.11268986606640624,0.12170936944623365,0.027852088,0.06102838175,0.08124319199999999,0.0995753025,0.6840247
train,t1,1536,0.22023084106575522,0.20548930122435144,0.04450207,0.074020079,0.111520625,0.32241057500000003,0.736711
train,t2,1536,0.10650234430078125,0.10682679689008762,0.021170633,0.05687287525,0.0876786855,0.10125893625,0.65293145
train,t3,1536,0.38322853063020834,0.2347962965841269,0.08353301,0.130540925,0.35089858500000004,0.63031172,0.79504484
validation,t0,192,0.10679646663020832,0.12322466904537747,0.028715098,0.0598860455,0.0784683125,0.097012856,0.71724004
validation,t1,192,0.22663406266666666,0.21453060477889824,0.05269119,0.06962717,0.10100703250000001,0.4032130825,0.68752086
validation,t2,192,0.11444186894270834,0.12154619206379513,0.02270949,0.05826191875,0.088984413,0.10296208375,0.6491909
validation,t3,192,0.36891470671354165,0.23683109085289053,0.08208643,0.123466205,0.321803555,0.6186700249999999,0.7755802
test,t0,192,0.12555521830729166,0.14864111507978672,0.02923784,0.058838184749999994,0.084934475,0.09923836750000001,0.67956614
test,t1,192,0.2342587535677083,0.21618745939293357,0.04793744,0.0721289695,0.119474585,0.386401125,0.7075319
test,t2,192,0.10757981946875,0.10997797237704067,0.021343008,0.052620386000000005,0.0875437725,0.101310475,0.645632
test,t3,192,0.40027367265104163,0.22605371552335854,0.07487618,0.17748963750000002,0.392014505,0.630430525,0.77281976
