split,sample_id,mean_cloud_probability_t0,mean_cloud_probability_t1,mean_cloud_probability_t2,mean_cloud_probability_t3,mask_area_fraction_t0,mask_pixel_count_t0,category,has_any_threshold_clean_timestep,all_timesteps_have_detected_cloud,t0_not_detected_other_cloudy,t0_cloudy_later_cleaner,cleanest_timestep
train,ROIs1868_127_patch_102,0.09000571,0.54316336,0.09631653,0.45223415,0.004302978515625,282,light,True,False,True,False,0
train,ROIs1868_127_patch_33,0.085174076,0.24341458,0.07805508,0.57239705,0.00970458984375,636,light,False,True,False,True,2
train,ROIs1970_83_patch_261,0.08553796,0.1972378,0.09978345,0.24470648,0.0,0,empty/not-detected,True,False,True,False,0
train,ROIs2017_130_patch_226,0.11212473,0.09004446,0.08314539,0.10506573,0.0617218017578125,4045,light,True,False,False,True,2
train,ROIs1970_112_patch_84,0.39946157,0.08733173,0.0559947,0.6777359,0.800994873046875,52494,heavy,False,True,False,True,2
train,ROIs1868_127_patch_245,0.1096968,0.5964673,0.11592686,0.3662096,0.0014190673828125,93,light,True,False,True,False,0
train,ROIs1970_57_patch_250,0.058582775,0.06986673,0.08885953,0.095931314,0.001251220703125,82,light,True,False,False,False,0
train,ROIs2017_115_patch_243,0.07891397,0.07916513,0.08681613,0.6812523,0.0,0,empty/not-detected,True,False,True,False,0
train,ROIs1868_127_patch_142,0.08812028,0.55329543,0.08822939,0.50004935,0.0110321044921875,723,light,True,False,True,False,0
train,ROIs2017_69_patch_110,0.03773529,0.42088658,0.041029163,0.6256731,0.0001220703125,8,light,False,True,False,False,0
train,ROIs2017_130_patch_223,0.10856895,0.07385133,0.07908773,0.12310403,0.06280517578125,4116,light,False,True,False,True,1
train,ROIs2017_130_patch_108,0.08956112,0.08087067,0.08222025,0.16489252,0.0,0,empty/not-detected,True,False,True,False,1
train,ROIs1868_127_patch_38,0.08325171,0.6500051,0.09134851,0.51182866,0.0016632080078125,109,light,True,False,True,False,0
train,ROIs2017_115_patch_112,0.056014918,0.05223175,0.06634006,0.6989908,0.0,0,empty/not-detected,True,False,True,False,1
train,ROIs1970_57_patch_195,0.049394168,0.05847243,0.09130515,0.08620364,0.0,0,empty/not-detected,True,False,False,False,0
train,ROIs1970_83_patch_37,0.059924677,0.2616421,0.06401782,0.20968169,0.0,0,empty/not-detected,False,True,False,False,0
train,ROIs1970_57_patch_7,0.07513858,0.10516282,0.087589726,0.11791865,0.0,0,empty/not-detected,True,False,False,False,0
train,ROIs2017_115_patch_106,0.083953775,0.07304456,0.10608282,0.7462786,0.000640869140625,42,light,True,False,True,False,1
train,ROIs1970_83_patch_48,0.07173839,0.14735672,0.068880625,0.34621322,0.0042877197265625,281,light,True,False,True,False,2
train,ROIs1970_57_patch_120,0.06143801,0.07578415,0.087003425,0.09382819,0.0,0,empty/not-detected,True,False,False,False,0
train,ROIs1970_83_patch_74,0.068374515,0.14181545,0.078660235,0.27741626,0.0004730224609375,31,light,False,True,False,False,0
train,ROIs1868_127_patch_83,0.0945308,0.5057151,0.102547795,0.44127998,0.002288818359375,150,light,True,False,True,False,0
train,ROIs1970_57_patch_155,0.06566691,0.07810226,0.09599651,0.098042004,0.0001220703125,8,light,True,False,False,False,0
train,ROIs2017_130_patch_264,0.11054733,0.10416932,0.09421953,0.106558286,0.0259246826171875,1699,light,True,False,True,False,2
train,ROIs1868_127_patch_179,0.09832902,0.4254414,0.10125362,0.4073047,0.0244140625,1600,light,True,False,True,False,0
train,ROIs2017_69_patch_23,0.030779965,0.6240847,0.03295376,0.5191266,0.0,0,empty/not-detected,True,False,True,False,0
