Model,Evaluasi,Raw,Blended,Penurunan MAE (%)
ResUNet,RGB global,0.023130132,0.007019473,69.652254840
ResUNet,RGB mask-only,0.017504049,0.015088524,13.799806954
ResUNet,13-pita global,0.022437034,0.008912128,60.279382983
ResUNet,13-pita mask-only,0.020162808,0.018550640,7.995749289
GAN ResNet-like,RGB global,0.052549345,0.007660161,85.422918775
GAN ResNet-like,RGB mask-only,0.024879887,0.017444558,29.884896192
GAN ResNet-like,13-pita global,0.055950430,0.009691984,82.677551812
GAN ResNet-like,13-pita mask-only,0.026795872,0.021257298,20.669506915
Conditional Patch GAN,RGB global,0.018843523,0.006834659,63.729397010
Conditional Patch GAN,RGB mask-only,0.017788043,0.013958938,21.526286572
Conditional Patch GAN,13-pita global,0.020947508,0.008721310,58.365884136
Conditional Patch GAN,13-pita mask-only,0.020714187,0.017112554,17.387276703
