output_kind,metric,metric_group,model_key,model_name,mean,median,std,q1,q3,n_samples,direction,rank
blended,rgb_mask_mae,primary,baseline,Baseline Multi-Temporal ResUNet,0.0150885239871623,0.0111992886112559,0.0134532099773792,0.0088122193428574,0.0153757929336333,141,lower_is_better,2
blended,rgb_mask_mae,primary,gan_resnet,GAN Multi-Temporal ResUNet dengan Custom ResNet-like Discriminator,0.017444558474817,0.0144712810537644,0.0115171135243929,0.0109328785057151,0.0181268196398591,141,lower_is_better,3
blended,rgb_mask_mae,primary,conditional,GAN Multi-Temporal ResUNet dengan Conditional Patch Discriminator,0.0139589377288153,0.0103016149702567,0.0127127500413724,0.0079869461230922,0.0141865647501415,141,lower_is_better,1
blended,band13_mask_mae,primary,baseline,Baseline Multi-Temporal ResUNet,0.0185506402758215,0.0157127861955781,0.0114929630462505,0.01139413414523,0.0214925631889345,141,lower_is_better,2
blended,band13_mask_mae,primary,gan_resnet,GAN Multi-Temporal ResUNet dengan Custom ResNet-like Discriminator,0.0212572975113824,0.0188580475425204,0.0104500199446812,0.0144622236026965,0.0251728410906364,141,lower_is_better,3
blended,band13_mask_mae,primary,conditional,GAN Multi-Temporal ResUNet dengan Conditional Patch Discriminator,0.0171125538836555,0.014774435500449,0.0109309070783556,0.0103741244276732,0.0203854502861542,141,lower_is_better,1
blended,rgb_global_mae,primary,baseline,Baseline Multi-Temporal ResUNet,0.0070194734162451,0.0061493929351238,0.0041865433453333,0.0046315348263092,0.0082016236955458,192,lower_is_better,2
blended,rgb_global_mae,primary,gan_resnet,GAN Multi-Temporal ResUNet dengan Custom ResNet-like Discriminator,0.0076601606475938,0.0060932980733335,0.0056632212300674,0.0047270084331358,0.0082786487055509,192,lower_is_better,3
blended,rgb_global_mae,primary,conditional,GAN Multi-Temporal ResUNet dengan Conditional Patch Discriminator,0.0068346593392114,0.0060529715891135,0.004118682363208,0.0046098534588878,0.007457798759295,192,lower_is_better,1
blended,band13_global_mae,primary,baseline,Baseline Multi-Temporal ResUNet,0.0089121283443935,0.0080166551955665,0.0041963996886776,0.0061238819393925,0.0106715381124532,192,lower_is_better,2
blended,band13_global_mae,primary,gan_resnet,GAN Multi-Temporal ResUNet dengan Custom ResNet-like Discriminator,0.0096919843327405,0.0083312720321266,0.0056320842571631,0.0061378746351094,0.0115217184513288,192,lower_is_better,3
blended,band13_global_mae,primary,conditional,GAN Multi-Temporal ResUNet dengan Conditional Patch Discriminator,0.0087213099550507,0.0078158882249829,0.004108010955731,0.0060806036315584,0.0102206534148721,192,lower_is_better,1
blended,rgb_global_psnr,secondary,baseline,Baseline Multi-Temporal ResUNet,42.44406528917684,42.60091801612546,4.46644667227327,39.89213476792331,45.043172888926485,192,higher_is_better,2
blended,rgb_global_psnr,secondary,gan_resnet,GAN Multi-Temporal ResUNet dengan Custom ResNet-like Discriminator,41.82984477459621,42.4836401035639,5.004689446536588,39.68223040344448,44.51227279047961,192,higher_is_better,3
blended,rgb_global_psnr,secondary,conditional,GAN Multi-Temporal ResUNet dengan Conditional Patch Discriminator,42.661812060344566,42.71467812856364,4.388298594568432,40.50698221223989,45.02458264381672,192,higher_is_better,1
blended,rgb_mask_psnr,secondary,baseline,Baseline Multi-Temporal ResUNet,36.29684850529346,37.26985411274751,4.496560001860185,34.03670160028214,38.8504329702612,141,higher_is_better,2
blended,rgb_mask_psnr,secondary,gan_resnet,GAN Multi-Temporal ResUNet dengan Custom ResNet-like Discriminator,34.20933151370335,34.602173275065425,3.9053854383268303,32.56778285002116,36.7819928136726,141,higher_is_better,3
blended,rgb_mask_psnr,secondary,conditional,GAN Multi-Temporal ResUNet dengan Conditional Patch Discriminator,36.98431189536266,38.0456911740783,4.599006271094755,34.907352018002946,39.977444976092265,141,higher_is_better,1
blended,band13_global_psnr,secondary,baseline,Baseline Multi-Temporal ResUNet,38.87575398823335,38.84409187707409,4.039273924872988,36.09893767499457,41.752602429103234,192,higher_is_better,2
blended,band13_global_psnr,secondary,gan_resnet,GAN Multi-Temporal ResUNet dengan Custom ResNet-like Discriminator,38.32642223931631,38.163338889025184,4.454720928832488,35.32774530717869,41.6543442046073,192,higher_is_better,3
blended,band13_global_psnr,secondary,conditional,GAN Multi-Temporal ResUNet dengan Conditional Patch Discriminator,39.0659963518015,39.1997951816607,3.9956315129557582,36.3085045466727,41.95474403586371,192,higher_is_better,1
blended,band13_mask_psnr,secondary,baseline,Baseline Multi-Temporal ResUNet,33.55132672723306,34.0093947840461,4.047750139589238,31.156865320446823,36.37972737657503,141,higher_is_better,2
blended,band13_mask_psnr,secondary,gan_resnet,GAN Multi-Temporal ResUNet dengan Custom ResNet-like Discriminator,31.82035665615149,32.19894825027848,3.490183048136446,29.688222113554463,34.232607396004255,141,higher_is_better,3
blended,band13_mask_psnr,secondary,conditional,GAN Multi-Temporal ResUNet dengan Conditional Patch Discriminator,34.216993600253176,34.8211196072995,4.254655700779412,31.56765175803969,36.94359832168605,141,higher_is_better,1
blended,rgb_global_ssim_standard,secondary,baseline,Baseline Multi-Temporal ResUNet,0.9836021702470946,0.9911737182838048,0.0222690233403239,0.9829016267370276,0.9957520782458918,192,higher_is_better,2
blended,rgb_global_ssim_standard,secondary,gan_resnet,GAN Multi-Temporal ResUNet dengan Custom ResNet-like Discriminator,0.9774382612993356,0.9901363390205606,0.0350605144276268,0.980898386178668,0.9953361466241624,192,higher_is_better,3
blended,rgb_global_ssim_standard,secondary,conditional,GAN Multi-Temporal ResUNet dengan Conditional Patch Discriminator,0.9845395725513214,0.9912863272784732,0.0214329289685632,0.9844025081989008,0.9957481324011884,192,higher_is_better,1
blended,rgb_global_ssim_legacy_global_statistics,diagnostic,baseline,Baseline Multi-Temporal ResUNet,0.9797242371283014,0.9904539051406042,0.02671879075589,0.9754184967051585,0.9952232023726086,192,higher_is_better,2
blended,rgb_global_ssim_legacy_global_statistics,diagnostic,gan_resnet,GAN Multi-Temporal ResUNet dengan Custom ResNet-like Discriminator,0.9709582052830932,0.988703186823494,0.0468580020211889,0.9697584552158331,0.99431768906896,192,higher_is_better,3
blended,rgb_global_ssim_legacy_global_statistics,diagnostic,conditional,GAN Multi-Temporal ResUNet dengan Conditional Patch Discriminator,0.9809719368041602,0.9907056569470944,0.026282875602221,0.9772631510516836,0.9953096624550528,192,higher_is_better,1
blended,rgb_global_rmse,diagnostic,baseline,Baseline Multi-Temporal ResUNet,0.0087070908404252,0.0074123193093885,0.0056012717965741,0.0055955958462229,0.0101251142398852,192,lower_is_better,2
blended,rgb_global_rmse,diagnostic,gan_resnet,GAN Multi-Temporal ResUNet dengan Custom ResNet-like Discriminator,0.0098004988367856,0.0075130801982945,0.0077011169641649,0.0059482125321961,0.0103731977209444,192,lower_is_better,3
blended,rgb_global_rmse,diagnostic,conditional,GAN Multi-Temporal ResUNet dengan Conditional Patch Discriminator,0.008475012403003,0.0073158800753293,0.0055396475824328,0.0056075234609612,0.0094330232291288,192,lower_is_better,1
