model_key,model_name,output_kind,band_index,band,global_mae_mean,global_mae_median,global_rmse_mean,global_psnr_mean,global_bias_mean,mask_mae_mean,mask_mae_median,mask_rmse_mean,mask_psnr_mean,mask_bias_mean,n_samples,n_mask_valid
baseline,Baseline Multi-Temporal ResUNet,blended,0,B1,0.0067761734341426445,0.00579434260725975,0.00837401500211854,43.05858411350443,-0.0014574754459317774,0.013214564170516658,0.008861965499818325,0.015752587409058477,38.25200564585589,0.0012253115543144498,192,141
baseline,Baseline Multi-Temporal ResUNet,blended,1,B2,0.006767339621243688,0.005912956316024065,0.008129477667049892,43.22003567647678,-0.001004233505227603,0.012595083193807262,0.009223435074090958,0.01472798213641261,38.51993616445878,0.004045713212380701,192,141
baseline,Baseline Multi-Temporal ResUNet,blended,2,B3,0.006741581848473288,0.005855928640812635,0.008127651843096828,42.98101892417717,-0.00043181174017566565,0.014042762532526402,0.010624165646731853,0.016268797189648156,37.39765473520707,0.007443875369707912,192,141
baseline,Baseline Multi-Temporal ResUNet,blended,3,B4,0.0075494764460017905,0.006432440597563982,0.009565107329156794,41.788136193123925,-0.0005076082610078932,0.01863214633830473,0.014632719568908215,0.021474264824856548,34.909529690651006,0.008665400208283632,192,141
baseline,Baseline Multi-Temporal ResUNet,blended,4,B5,0.008100317410329202,0.00696577038615942,0.010124266323449168,40.910438042868954,-0.001240258559846552,0.018325005628247844,0.015348564833402634,0.020939124416727253,34.83221921730548,0.007927474995859543,192,141
baseline,Baseline Multi-Temporal ResUNet,blended,5,B6,0.010625034400921626,0.00841490039601922,0.013449097195310364,38.51530959486265,-0.002703892872280752,0.01920075078514662,0.0156831294298172,0.021799358361163094,34.37184076054131,0.010459083508318687,192,141
baseline,Baseline Multi-Temporal ResUNet,blended,6,B7,0.011621874324191594,0.00909167155623436,0.014969968504980594,37.69617190649311,-0.003264998518716311,0.0204975308341813,0.017854908481240273,0.02340814153772778,33.60560792391029,0.008343258929597412,192,141
baseline,Baseline Multi-Temporal ResUNet,blended,7,B8,0.012196904710435774,0.010095695499330759,0.01575553357542958,37.12772871219291,-0.0035739138741822294,0.0233652859939434,0.020288726314902306,0.02660601655015317,32.36953281362011,0.009074034686992936,192,141
baseline,Baseline Multi-Temporal ResUNet,blended,8,B8A,0.012155024492434071,0.009913031477481127,0.015827505235696055,37.239202384062345,-0.002980524940843073,0.022229757836973625,0.01890932023525238,0.025259859425045057,32.89717920385748,0.010645035613617812,192,141
baseline,Baseline Multi-Temporal ResUNet,blended,9,B9,0.010125141795773137,0.009762144647538662,0.012241542567304956,39.41270761689037,-0.0036328252936073113,0.016893110713584625,0.012008468620479107,0.019154032361648008,35.77566153276285,0.005125081466190647,192,141
baseline,Baseline Multi-Temporal ResUNet,blended,10,B10,0.0017210325693213235,0.0012053631944581866,0.002387724505751976,56.38306348829919,-0.0004019968965091418,0.00599905635405279,0.004805393982678652,0.006937879254400332,45.65369947462331,0.0015929347842395906,192,141
baseline,Baseline Multi-Temporal ResUNet,blended,11,B11,0.011373201895063781,0.008515133056789637,0.015686748027898528,37.98238707351695,0.0008374078423306249,0.03017854768822485,0.021161986514925957,0.03460077611305933,31.046893854356114,0.01582931547676682,192,141
baseline,Baseline Multi-Temporal ResUNet,blended,12,B12,0.0101045310026772,0.007919072173535824,0.013870712620700942,39.22265515775073,0.0010339635394605768,0.025986627898515857,0.018080538138747215,0.02993014572608337,32.372381331108805,0.012174350843471326,192,141
baseline,Baseline Multi-Temporal ResUNet,raw,0,B1,0.028621144670372207,0.013709128368645906,0.033623624072788516,32.65327222223076,0.020437110501006828,0.016828039479408915,0.008625726215541363,0.019276787990739862,37.51777684967076,0.005110819638890036,192,141
baseline,Baseline Multi-Temporal ResUNet,raw,1,B2,0.020275425956545707,0.013902843929827213,0.02606559566629585,33.92467358072722,0.012807346029148903,0.014566842535946598,0.010232778266072273,0.017402086261734014,37.57056222879067,-0.002245092956251828,192,141
baseline,Baseline Multi-Temporal ResUNet,raw,2,B3,0.024483086766849738,0.015337264630943537,0.02841274314171945,33.167691165199464,0.01610540196270449,0.015720737544846132,0.010251483879983425,0.01867971127024093,36.80065272172035,-0.002756787480432243,192,141
