model_key,model_label,output_kind,band_index,band,n_samples,n_mask_valid_samples,global_mae_mean,global_mae_median,global_mae_std,global_rmse_mean,global_rmse_median,global_rmse_std,global_psnr_mean,global_psnr_median,global_psnr_std,global_bias_mean,global_bias_median,global_bias_std,mask_mae_mean,mask_mae_median,mask_mae_std,mask_rmse_mean,mask_rmse_median,mask_rmse_std,mask_psnr_mean,mask_psnr_median,mask_psnr_std,mask_bias_mean,mask_bias_median,mask_bias_std
baseline,ResUNet,blended,0,B1,192,141,0.00677617343414,0.00579434260726,0.00468009735484,0.00837401500212,0.00684134638868,0.00623469109313,43.0585841135,43.2971739309,4.85355426079,-0.00145747544593,-0.00338079826906,0.00729577132133,0.0132145641705,0.00886196549982,0.0112154858372,0.0157525874091,0.0111436585559,0.0126873914802,38.2520056459,39.0594440651,6.06468147212,0.00122531155431,0.00375553942285,0.0158681727888
baseline,ResUNet,blended,1,B2,192,141,0.00676733962124,0.00591295631602,0.00437445997734,0.00812947766705,0.00683140731417,0.0057686815038,43.2200356765,43.3097982186,4.73660782949,-0.00100423350523,-0.0031502135098,0.00688820667761,0.0125950831938,0.00922343507409,0.0117399567038,0.0147279821364,0.0107453975433,0.0123668454163,38.5199361645,39.375550249,5.4289238738,0.00404571321238,0.00335640483536,0.0153530393702
baseline,ResUNet,blended,2,B3,192,141,0.00674158184847,0.00585592864081,0.00385712170007,0.0081276518431,0.00686094490811,0.00508343342299,42.9810189242,43.2723228501,4.36209716417,-0.000431811740176,-0.00258958293125,0.00633813457871,0.0140427625325,0.0106241656467,0.0133281631355,0.0162687971896,0.0124278369961,0.0136016154428,37.3976547352,38.112089032,4.82386532758,0.00744387536971,0.00651623914018,0.0164942588688
baseline,ResUNet,blended,3,B4,192,141,0.007549476446,0.00643244059756,0.00471196975322,0.00956510732916,0.00801279675215,0.00623142382229,41.7881361931,41.9243258825,4.8557178704,-0.000507608261008,-0.00144558749162,0.00655856251306,0.0186321463383,0.0146327195689,0.0169991498232,0.0214742648249,0.0171817471213,0.0171243280171,34.9095296907,35.2986535429,4.7355391842,0.00866540020828,0.00657211057842,0.021796087445
baseline,ResUNet,blended,4,B5,192,141,0.00810031741033,0.00696577038616,0.00433957589395,0.0101242663234,0.00833305297419,0.00588378413086,40.9104380429,41.5839186081,4.01923558504,-0.00124025855985,-0.00252307835035,0.00683040882167,0.0183250056282,0.0153485648334,0.0137434344748,0.0209391244167,0.0178492787174,0.0137864206875,34.8322192173,34.9675865775,4.42214046044,0.00792747499586,0.0070971949026,0.0197844702667
baseline,ResUNet,blended,5,B6,192,141,0.0106250344009,0.00841490039602,0.00560644159902,0.0134490971953,0.0108857969753,0.00702731182028,38.5153095949,39.2628239617,4.36470344901,-0.00270389287228,-0.00305608985946,0.00910941079868,0.0192007507851,0.0156831294298,0.0136487076933,0.0217993583612,0.0190014616064,0.0138621032316,34.3718407605,34.4242598302,4.23326251387,0.0104590835083,0.007706141565,0.0189945539376
baseline,ResUNet,blended,6,B7,192,141,0.0116218743242,0.00909167155623,0.00636923002652,0.014969968505,0.0123879862949,0.00796401813943,37.6961719065,38.1399857283,4.63222714682,-0.00326499851872,-0.00388797512278,0.0100077233943,0.0204975308342,0.0178549084812,0.013429591056,0.0234081415377,0.0207904654654,0.0134611636896,33.6056079239,33.6427157479,4.02656193457,0.0083432589296,0.00595703115687,0.0204370895368
baseline,ResUNet,blended,7,B8,192,141,0.0121969047104,0.0100956954993,0.006130453785,0.0157555335754,0.0134049812332,0.00775543733922,37.1277287122,37.4546898632,4.43259192588,-0.00357391387418,-0.00422767247073,0.00986565767245,0.0233652859939,0.0202887263149,0.0142881605427,0.0266060165502,0.023855758887,0.0141402101518,32.3695328136,32.4481352667,3.76139561438,0.00907403468699,0.00690096290782,0.0228316278384
baseline,ResUNet,blended,8,B8A,192,141,0.0121550244924,0.00991303147748,0.00661407037514,0.0158275052357,0.0131631870754,0.00839993208466,37.2392023841,37.6133102337,4.71352255114,-0.00298052494084,-0.00321570085362,0.0103318341494,0.022229757837,0.0189093202353,0.0139396442872,0.025259859425,0.022030926634,0.0138420376581,32.8971792039,33.1393447156,3.9208857234,0.0106450356136,0.00883755180985,0.0211316656215
baseline,ResUNet,blended,9,B9,192,141,0.0101251417958,0.00976214464754,0.00543526332944,0.0122415425673,0.0116906440817,0.00579970291215,39.4127076169,38.6432347368,4.88362596869,-0.00363282529361,-0.00360273732804,0.00988231495103,0.0168931107136,0.0120084686205,0.0122871499966,0.0191540323616,0.0148900911334,0.0125587553495,35.7756615328,36.5420528836,4.79670182736,0.00512508146619,0.00555497920141,0.0189564587508
baseline,ResUNet,blended,10,B10,192,141,0.00172103256932,0.00120536319446,0.00208040663227,0.00238772450575,0.00165669253329,0.0031423726431,56.3830634883,55.6151839555,8.31059850488,-0.000401996896509,-0.000351742652128,0.00206208610436,0.00599905635405,0.00480539398268,0.00544398895735,0.0069378792544,0.00510053965504,0.00609005684435,45.6536994746,45.8476774317,6.45708366583,0.00159293478424,0.00201707007363,0.00735677286019
baseline,ResUNet,blended,11,B11,192,141,0.0113732018951,0.00851513305679,0.00771539324648,0.0156867480279,0.0120820840821,0.0110708275205,37.9823870735,38.3571629061,5.68549019592,0.000837407842331,-0.00209838524461,0.0100458088551,0.0301785476882,0.0211619865149,0.023173191918,0.0346007761131,0.0262850014786,0.0243830774296,31.0468938544,31.6058398843,5.57155736389,0.0158293154768,0.010986328125,0.0316822555848
baseline,ResUNet,blended,12,B12,192,141,0.0101045310027,0.00791907217354,0.00719075793473,0.0138707126207,0.0113328117877,0.00969951603405,39.2226551578,38.9153021854,6.15372999067,0.00103396353946,-0.000597968930378,0.00891004605071,0.0259866278985,0.0180805381387,0.0201687175832,0.0299301457261,0.0225721603838,0.0222955927566,32.3723813311,32.9285374513,5.64865173352,0.0121743508435,0.0091255987063,0.0276007981981
baseline,ResUNet,raw,0,B1,192,141,0.0286211446704,0.0137091283686,0.0300165238695,0.0336236240728,0.0185854118317,0.0307706121194,32.6532722222,34.6167245148,7.32099495956,0.020437110501,0.00478366389871,0.0348853395559,0.0168280394794,0.00862572621554,0.0207067421715,0.0192767879907,0.0110541297939,0.0211306929355,37.5177768497,39.1295088077,6.96323864993,0.00511081963889,-0.000722188444342,0.024733451113
baseline,ResUNet,raw,1,B2,192,141,0.0202754259565,0.0139028439298,0.0181391670879,0.0260655956663,0.0191382523626,0.0198972455787,33.9246735807,34.3621001284,6.1777739767,0.0128073460291,0.00430656038225,0.0220196166601,0.0145668425359,0.0102327782661,0.0149354626885,0.0174020862617,0.012511942442,0.0157880778881,37.5705622288,38.0535052428,6.12743434697,-0.00224509295625,-0.00261467834935,0.0190287257583
baseline,ResUNet,raw,2,B3,192,141,0.0244830867668,0.0153372646309,0.0231681922722,0.0284127431417,0.0201367270201,0.023185704359,33.1676911652,33.9202378148,5.9289313301,0.0161054019627,0.00559000298381,0.0276435849443,0.0157207375448,0.01025148388,0.0152619195846,0.0186797112702,0.0127436435445,0.0159780523775,36.8006527217,37.8941276958,6.01061607673,-0.00275678748043,-0.0043838522397,0.019898678425
baseline,ResUNet,raw,3,B4,192,141,0.0246318678013,0.0248155090958,0.0115392681127,0.0292761273765,0.0289817936718,0.0121873654127,31.5215162657,30.7576516218,4.07849126079,-0.00315023856092,-0.00628187088296,0.0227857687498,0.0222183846528,0.0181041900069,0.0180175178415,0.0259726044341,0.020937690069,0.0184007589692,33.6000245037,33.5814246629,5.88979988087,-0.0104520084726,-0.0130643798038,0.0250579306959
baseline,ResUNet,raw,4,B5,192,141,0.0216181570686,0.0174358244985,0.0136009725271,0.0259194049177,0.0225078798831,0.014557093774,33.0132408507,32.9534130082,4.81208786849,0.00455288260976,0.000444003380835,0.0213051049088,0.0207168573203,0.0139621030539,0.0183664170446,0.0239863177162,0.017418539309,0.0188057275174,34.577200841,35.1797653409,6.12669838189,-0.0089765308202,-0.00862023420632,0.0248595037218
baseline,ResUNet,raw,5,B6,192,141,0.0184179927261,0.0166049031541,0.00943471592426,0.023292684166,0.0224159937352,0.010798599946,33.5698341098,32.9889278047,4.06971948865,0.00466374663908,0.00361682486255,0.0136017631397,0.0177834001188,0.0122256726027,0.0169952169751,0.0207493231542,0.0147383434252,0.0175050993924,35.621623907,36.6310265598,5.51900278831,-0.00247464348737,-0.0034737540409,0.0227157275405
baseline,ResUNet,raw,6,B7,192,141,0.0219107481923,0.0198759175837,0.0127269466097,0.0277409187135,0.0256411712617,0.014352631881,32.2518318125,31.8216598929,4.45642168477,0.00979726376681,0.00667852419429,0.0164947675187,0.0206193597484,0.0148251075298,0.0177896291098,0.0238307009773,0.0185703835479,0.0177115484936,34.1812582239,34.6235825272,5.37852588994,-0.00671800370182,-0.00708669284359,0.0245262283824
baseline,ResUNet,raw,7,B8,192,141,0.0221223141125,0.0196802020073,0.0115728358245,0.0283640813141,0.0264935046434,0.013272871846,31.8915622062,31.5372226122,4.15176737931,0.00281365588004,0.00119544717018,0.0168176924388,0.0223234978394,0.0151133518666,0.018716281407,0.0262482672132,0.0186113407106,0.0198495525229,33.4888726234,34.6044468069,5.58862541491,-0.00929445080898,-0.00851499661803,0.0250859502728
