split,sample_id,best_pixel_t0,best_pixel_t1,best_pixel_t2,best_pixel_t3
train,ROIs1868_127_patch_102,54610,23,10903,0
train,ROIs1868_127_patch_33,17536,7359,40641,0
train,ROIs1970_83_patch_261,61555,21,3960,0
train,ROIs2017_130_patch_226,3681,12041,41528,8286
train,ROIs1970_112_patch_84,8876,8047,48613,0
train,ROIs1868_127_patch_245,52775,22,12739,0
train,ROIs1970_57_patch_250,60848,183,110,4395
train,ROIs2017_115_patch_243,37961,19172,8403,0
train,ROIs1868_127_patch_142,35746,19,29771,0
train,ROIs2017_69_patch_110,50557,24,14955,0
train,ROIs2017_130_patch_223,3762,40260,19578,1936
train,ROIs2017_130_patch_108,9665,36213,19657,1
train,ROIs1868_127_patch_38,57695,0,7841,0
train,ROIs2017_115_patch_112,20091,45008,437,0
train,ROIs1970_57_patch_195,65398,18,0,120
train,ROIs1970_83_patch_37,49951,76,15509,0
train,ROIs1970_57_patch_7,65459,0,7,70
train,ROIs2017_115_patch_106,4672,60772,92,0
train,ROIs1970_83_patch_48,28284,2909,34343,0
train,ROIs1970_57_patch_120,62624,8,53,2851
train,ROIs1970_83_patch_74,55210,1050,9276,0
train,ROIs1868_127_patch_83,60823,142,4571,0
train,ROIs1970_57_patch_155,53783,32,46,11675
train,ROIs2017_130_patch_264,5970,13881,34756,10929
train,ROIs1868_127_patch_179,38445,545,26544,2
train,ROIs2017_69_patch_23,47519,0,18017,0
train,ROIs1868_127_patch_157,53565,3,11953,15
train,ROIs2017_69_patch_123,58122,0,7412,2
train,ROIs2017_69_patch_112,60416,4,5116,0
train,ROIs1868_127_patch_250,46437,2533,16566,0
train,ROIs1970_112_patch_42,17773,9863,37900,0
train,ROIs2017_115_patch_281,61529,2703,1304,0
train,ROIs2017_115_patch_83,11511,53242,783,0
train,ROIs2017_69_patch_163,49137,0,16391,8
train,ROIs1970_112_patch_5,3970,0,61566,0
train,ROIs2017_115_patch_19,11960,53576,0,0
train,ROIs2017_69_patch_152,63381,0,1790,365
train,ROIs1970_83_patch_169,30392,5426,27957,1761
train,ROIs1970_83_patch_271,63990,180,1366,0
train,ROIs1970_57_patch_69,65327,1,4,204
train,ROIs2017_69_patch_31,58289,0,7247,0
train,ROIs1970_57_patch_234,60926,274,186,4150
train,ROIs1868_127_patch_181,54955,1180,1127,8274
train,ROIs2017_130_patch_137,4522,17593,33600,9821
train,ROIs1970_112_patch_137,14945,1011,49575,5
train,ROIs1970_57_patch_128,65490,0,0,46
train,ROIs1970_57_patch_53,64322,1,67,1146
train,ROIs2017_130_patch_258,12177,27561,23659,2139
train,ROIs2017_115_patch_21,10632,54898,6,0
train,ROIs1970_57_patch_25,65395,5,1,135
train,ROIs2017_115_patch_270,37366,28170,0,0
train,ROIs2017_130_patch_207,1630,16458,36330,11118
train,ROIs2017_115_patch_14,19763,45347,426,0
train,ROIs1970_112_patch_242,0,32375,33161,0
train,ROIs1868_127_patch_148,22884,26915,14725,1012
train,ROIs1970_83_patch_14,31488,6,34042,0
train,ROIs1868_127_patch_263,56417,374,8739,6
train,ROIs2017_69_patch_218,63383,0,2065,88
train,ROIs1970_83_patch_113,26521,9020,29995,0
train,ROIs1970_83_patch_132,50482,4191,10863,0
train,ROIs1970_57_patch_86,63641,2,21,1872
train,ROIs1970_57_patch_29,55053,161,1147,9175
train,ROIs2017_69_patch_95,50195,0,15341,0
train,ROIs1970_57_patch_217,58807,711,216,5802
train,ROIs2017_130_patch_209,1197,7943,51785,4611
train,ROIs2017_69_patch_231,62746,0,2602,188
train,ROIs2017_115_patch_27,2964,62572,0,0
train,ROIs2017_69_patch_71,61388,6,4142,0
train,ROIs1970_112_patch_121,6277,4,59255,0
train,ROIs2017_115_patch_175,15059,49329,1148,0
train,ROIs1970_83_patch_152,63965,42,1529,0
train,ROIs1970_83_patch_33,34752,186,30594,4
train,ROIs2017_69_patch_85,48669,0,16867,0
train,ROIs1970_83_patch_262,52597,9,12919,11
train,ROIs1868_127_patch_19,56594,0,8942,0
train,ROIs2017_115_patch_284,50111,11757,3668,0
train,ROIs2017_130_patch_210,2729,10265,43099,9443
train,ROIs2017_69_patch_279,51168,0,14308,60
train,ROIs2017_130_patch_197,13606,20447,13531,17952
train,ROIs2017_69_patch_274,51251,0,14270,15
train,ROIs1970_112_patch_264,0,319,61448,3769
train,ROIs1970_83_patch_178,31065,18663,15801,7
train,ROIs1970_112_patch_268,0,65469,24,43
train,ROIs1970_83_patch_222,56774,5912,2850,0
train,ROIs1970_57_patch_106,55195,87,653,9601
train,ROIs1970_112_patch_15,16890,9,48637,0
train,ROIs1970_112_patch_39,0,0,65536,0
train,ROIs2017_69_patch_249,61887,0,2955,694
train,ROIs1970_83_patch_264,46833,1306,17331,66
train,ROIs1970_57_patch_12,57798,45,1508,6185
train,ROIs1970_57_patch_157,62305,30,92,3109
train,ROIs2017_69_patch_67,61701,0,3834,1
train,ROIs1868_127_patch_145,47843,14388,2586,719
train,ROIs1970_83_patch_24,24472,6271,34793,0
train,ROIs1970_57_patch_109,60350,112,56,5018
train,ROIs1970_57_patch_125,61366,104,83,3983
train,ROIs1868_127_patch_169,60569,2813,2151,3
train,ROIs1970_83_patch_256,64139,366,1031,0
train,ROIs1868_127_patch_171,58618,1457,5452,9
train,ROIs2017_130_patch_164,7253,27608,28942,1733
train,ROIs2017_130_patch_105,8229,18306,25548,13453
train,ROIs1970_112_patch_21,0,0,65536,0
train,ROIs2017_130_patch_6,8912,21647,16511,18466
train,ROIs2017_115_patch_160,38363,22935,4238,0
train,ROIs2017_69_patch_6,46254,0,19273,9
train,ROIs2017_69_patch_111,56078,18,9440,0
train,ROIs2017_130_patch_78,8198,24042,31929,1367
train,ROIs2017_115_patch_227,44653,20883,0,0
train,ROIs2017_69_patch_166,62769,4,2760,3
train,ROIs1970_112_patch_99,15188,7699,42649,0
train,ROIs2017_130_patch_0,2209,19998,42938,391
train,ROIs1970_112_patch_255,0,15193,50343,0
train,ROIs1868_127_patch_167,38015,11383,11935,4203
train,ROIs2017_115_patch_41,14342,51157,37,0
train,ROIs2017_130_patch_65,10391,44068,9404,1673
train,ROIs1970_83_patch_79,21974,27923,15289,350
train,ROIs1970_112_patch_258,0,14236,51300,0
train,ROIs2017_130_patch_94,3466,31847,27362,2861
train,ROIs2017_130_patch_252,10563,34349,18916,1708
train,ROIs1970_57_patch_230,64413,171,9,943
train,ROIs1970_112_patch_89,13603,11526,40407,0
train,ROIs1970_83_patch_128,59100,343,6055,38
train,ROIs1970_112_patch_237,0,9368,56168,0
train,ROIs1970_83_patch_89,26526,14087,24923,0
train,ROIs2017_130_patch_251,14894,5035,41539,4068
train,ROIs2017_115_patch_234,42209,23327,0,0
