model_key,model_label,output_kind,metric,mean,median,std,q1,q3,n_total_samples,n_mask_valid_samples
baseline,ResUNet,blended,band13_global_mae,0.00891212834439,0.00801665519557,0.00419639968868,0.00612388193939,0.0106715381125,192,141
baseline,ResUNet,raw,band13_global_mae,0.0224370339983,0.0201522721091,0.0119127592657,0.0131970842265,0.0296417910596,192,141
gan_resnet,GAN ResNet-like,blended,band13_global_mae,0.00969198433274,0.00833127203213,0.00563208425716,0.00613787463511,0.0115217184513,192,141
gan_resnet,GAN ResNet-like,raw,band13_global_mae,0.0559504304897,0.0473862208148,0.0330059973593,0.0337480495642,0.0724368539373,192,141
conditional,Conditional Patch GAN,blended,band13_global_mae,0.00872130995505,0.00781588822498,0.00410801095573,0.00608060363156,0.0102206534149,192,141
conditional,Conditional Patch GAN,raw,band13_global_mae,0.0209475084895,0.0199489194378,0.00918217269898,0.0139050620819,0.0278826799187,192,141
baseline,ResUNet,blended,band13_global_pearson,0.985052229699,0.990615715979,0.0178861932243,0.981384238696,0.996094470681,192,141
baseline,ResUNet,raw,band13_global_pearson,0.909481797172,0.956920197167,0.0893495582433,0.850088984615,0.975456901378,192,141
gan_resnet,GAN ResNet-like,blended,band13_global_pearson,0.981058396929,0.988344826995,0.0261359965902,0.977940858178,0.995713288152,192,141
gan_resnet,GAN ResNet-like,raw,band13_global_pearson,0.688701304721,0.733522904819,0.224864519842,0.587170123058,0.860226378893,192,141
conditional,Conditional Patch GAN,blended,band13_global_pearson,0.985490897541,0.991207095575,0.0176044649396,0.982024222244,0.996243722224,192,141
conditional,Conditional Patch GAN,raw,band13_global_pearson,0.916726158079,0.958912092134,0.0796903386053,0.853166373973,0.975225800295,192,141
baseline,ResUNet,blended,band13_global_psnr,38.8757539882,38.8440918771,4.03927392487,36.098937675,41.7526024291,192,141
baseline,ResUNet,raw,band13_global_psnr,31.6878477896,31.2345196924,4.43011847559,28.2980360141,35.0105639666,192,141
gan_resnet,GAN ResNet-like,blended,band13_global_psnr,38.3264222393,38.163338889,4.45472092883,35.3277453072,41.6543442046,192,141
gan_resnet,GAN ResNet-like,raw,band13_global_psnr,23.357781798,22.5843400398,4.96787856231,19.8539040736,26.0924156153,192,141
conditional,Conditional Patch GAN,blended,band13_global_psnr,39.0659963518,39.1997951817,3.99563151296,36.3085045467,41.9547440359,192,141
conditional,Conditional Patch GAN,raw,band13_global_psnr,32.0417559388,31.3696815856,4.21529431947,28.8361468812,34.7430743987,192,141
baseline,ResUNet,blended,band13_global_rmse,0.012667290161,0.0114234035182,0.00608973860956,0.00817293179954,0.0156710973423,192,141
baseline,ResUNet,raw,band13_global_rmse,0.0294152288507,0.0274330485853,0.0142153785919,0.0177611822337,0.0384683263718,192,141
gan_resnet,GAN ResNet-like,blended,band13_global_rmse,0.0138677134644,0.0123554246646,0.00783370035394,0.00826578255293,0.0171259051014,192,141
gan_resnet,GAN ResNet-like,raw,band13_global_rmse,0.0780956137131,0.0742663890639,0.0377881551067,0.0495902149595,0.101696538153,192,141
conditional,Conditional Patch GAN,blended,band13_global_rmse,0.0123721960451,0.0109650419343,0.00594247608414,0.00798478139102,0.0152959826991,192,141
conditional,Conditional Patch GAN,raw,band13_global_rmse,0.0277432293753,0.0270094612472,0.0116804264575,0.0183166655642,0.0361570227071,192,141
baseline,ResUNet,blended,band13_mask_mae,0.0185506402758,0.0157127861956,0.0114929630463,0.0113941341452,0.0214925631889,192,141
baseline,ResUNet,raw,band13_mask_mae,0.0201628078403,0.0148127430157,0.0154490326301,0.0108490039803,0.0243437567517,192,141
gan_resnet,GAN ResNet-like,blended,band13_mask_mae,0.0212572975114,0.0188580475425,0.0104500199447,0.0144622236027,0.0251728410906,192,141
gan_resnet,GAN ResNet-like,raw,band13_mask_mae,0.0267958721607,0.024154084547,0.0127882206937,0.0180013824601,0.0330594661409,192,141
conditional,Conditional Patch GAN,blended,band13_mask_mae,0.0171125538837,0.0147744355004,0.0109309070784,0.0103741244277,0.0203854502862,192,141
conditional,Conditional Patch GAN,raw,band13_mask_mae,0.0207141868719,0.0163327135857,0.0148516822185,0.0118671445204,0.0261729471087,192,141
baseline,ResUNet,blended,band13_mask_psnr,33.5513267272,34.009394784,4.04775013959,31.1568653204,36.3797273766,192,141
baseline,ResUNet,raw,band13_mask_psnr,33.4331666051,33.993849177,5.34420602621,29.7114020845,36.8549600395,192,141
gan_resnet,GAN ResNet-like,blended,band13_mask_psnr,31.8203566562,32.1989482503,3.49018304814,29.6882221136,34.232607396,192,141
gan_resnet,GAN ResNet-like,raw,band13_mask_psnr,29.9066940226,30.0660461751,3.70916304114,27.5303101202,32.5053688078,192,141
conditional,Conditional Patch GAN,blended,band13_mask_psnr,34.2169936003,34.8211196073,4.25465570078,31.567651758,36.9435983217,192,141
conditional,Conditional Patch GAN,raw,band13_mask_psnr,33.1366559038,33.2667512307,5.41836446717,29.8566277855,36.3767967042,192,141
baseline,ResUNet,blended,mask_pixel_count,8401.4375,151,19745.1766471,0,3084.25,192,141
baseline,ResUNet,raw,mask_pixel_count,8401.4375,151,19745.1766471,0,3084.25,192,141
gan_resnet,GAN ResNet-like,blended,mask_pixel_count,8401.4375,151,19745.1766471,0,3084.25,192,141
