split,local_index,base_index,sample_id
train,0,102,ROIs1868_127_patch_102
train,1,33,ROIs1868_127_patch_33
train,2,1056,ROIs1970_83_patch_261
train,3,1591,ROIs2017_130_patch_226
train,4,354,ROIs1970_112_patch_84
train,5,245,ROIs1868_127_patch_245
train,6,790,ROIs1970_57_patch_250
train,7,1323,ROIs2017_115_patch_243
train,8,142,ROIs1868_127_patch_142
train,9,1745,ROIs2017_69_patch_110
train,10,1588,ROIs2017_130_patch_223
train,11,1473,ROIs2017_130_patch_108
train,12,38,ROIs1868_127_patch_38
train,13,1192,ROIs2017_115_patch_112
train,14,735,ROIs1970_57_patch_195
train,15,832,ROIs1970_83_patch_37
train,16,547,ROIs1970_57_patch_7
train,17,1186,ROIs2017_115_patch_106
train,18,843,ROIs1970_83_patch_48
train,19,660,ROIs1970_57_patch_120
train,20,869,ROIs1970_83_patch_74
train,21,83,ROIs1868_127_patch_83
train,22,695,ROIs1970_57_patch_155
train,23,1629,ROIs2017_130_patch_264
train,24,179,ROIs1868_127_patch_179
train,25,1658,ROIs2017_69_patch_23
train,26,157,ROIs1868_127_patch_157
train,27,1758,ROIs2017_69_patch_123
train,28,1747,ROIs2017_69_patch_112
train,29,250,ROIs1868_127_patch_250
train,30,312,ROIs1970_112_patch_42
train,31,1361,ROIs2017_115_patch_281
train,32,1163,ROIs2017_115_patch_83
train,33,1798,ROIs2017_69_patch_163
train,34,275,ROIs1970_112_patch_5
train,35,1099,ROIs2017_115_patch_19
train,36,1787,ROIs2017_69_patch_152
train,37,964,ROIs1970_83_patch_169
train,38,1066,ROIs1970_83_patch_271
train,39,609,ROIs1970_57_patch_69
train,40,1666,ROIs2017_69_patch_31
train,41,774,ROIs1970_57_patch_234
train,42,181,ROIs1868_127_patch_181
train,43,1502,ROIs2017_130_patch_137
train,44,407,ROIs1970_112_patch_137
train,45,668,ROIs1970_57_patch_128
train,46,593,ROIs1970_57_patch_53
train,47,1623,ROIs2017_130_patch_258
train,48,1101,ROIs2017_115_patch_21
train,49,565,ROIs1970_57_patch_25
train,50,1350,ROIs2017_115_patch_270
train,51,1572,ROIs2017_130_patch_207
train,52,1094,ROIs2017_115_patch_14
train,53,512,ROIs1970_112_patch_242
train,54,148,ROIs1868_127_patch_148
train,55,809,ROIs1970_83_patch_14
train,56,263,ROIs1868_127_patch_263
train,57,1853,ROIs2017_69_patch_218
train,58,908,ROIs1970_83_patch_113
train,59,927,ROIs1970_83_patch_132
train,60,626,ROIs1970_57_patch_86
train,61,569,ROIs1970_57_patch_29
train,62,1730,ROIs2017_69_patch_95
train,63,757,ROIs1970_57_patch_217
train,64,1574,ROIs2017_130_patch_209
train,65,1866,ROIs2017_69_patch_231
train,66,1107,ROIs2017_115_patch_27
train,67,1706,ROIs2017_69_patch_71
train,68,391,ROIs1970_112_patch_121
train,69,1255,ROIs2017_115_patch_175
train,70,947,ROIs1970_83_patch_152
train,71,828,ROIs1970_83_patch_33
train,72,1720,ROIs2017_69_patch_85
