metric,model_a,model_b,n_pairs,wilcoxon_w,raw_p_value,rank_biserial,effect_magnitude,mean_difference_a_minus_b,median_difference_a_minus_b,bootstrap_mean_ci95_low,bootstrap_mean_ci95_high,bootstrap_median_ci95_low,bootstrap_median_ci95_high,paired_t_statistic,paired_t_p_value,better_mean,holm_adjusted_p_value,holm_significant_0_05
rgb_global_mae,baseline,gan_resnet,192,7338.0,0.0124876262269139,-0.20790155440414507,small,-0.0006406872313487632,-2.222583740749823e-06,-0.0009366084227404968,-0.0003736943312404997,-1.1746111547782285e-05,1.40566769844477e-07,-4.307715319012345,2.6363852668185263e-05,baseline,0.0124876262269139,True
rgb_global_mae,baseline,conditional,192,4185.0,4.4713084671310365e-11,0.5482512953367875,large,0.00018481407703365574,3.172753422594999e-05,0.0001102449160147408,0.0002584580356791892,5.332168257100346e-06,6.986630307085093e-05,5.101303013794697,8.101487347997443e-07,conditional,1.341392540139311e-10,True
rgb_global_mae,gan_resnet,conditional,192,5909.0,1.352122640984299e-05,0.36215457685664937,medium,0.0008255013083824187,1.0248633335200067e-05,0.0005277470978153442,0.001136654811232338,1.5795220823500416e-06,5.683230659770007e-05,5.321087538213492,2.8720591416393776e-07,conditional,2.704245281968598e-05,True
rgb_mask_mae,baseline,gan_resnet,141,1962.0,3.759125404225074e-10,-0.6080311657177105,large,-0.00235603448765478,-0.0023212080249692003,-0.0037762321539987014,-0.0008787226698855674,-0.0034251769196013,-0.0015189284066915998,-3.0978350995726327,0.00235615791268199,baseline,3.759125404225074e-10,True
rgb_mask_mae,baseline,conditional,141,1806.0,4.5558177612795764e-11,0.639196883428229,large,0.0011295862583469974,0.0012353420210473014,0.0005069599749862906,0.0017079841792351517,0.0008678779344855007,0.0014445030973038002,3.778944439449138,0.00023228685067671525,conditional,9.111635522559153e-11,True
rgb_mask_mae,gan_resnet,conditional,141,1121.0,1.3005230163122387e-15,0.7760463490160823,large,0.0034856207460017773,0.003418842048356102,0.0021397477093625856,0.004770288463202667,0.0028133593577728006,0.004322975954060901,5.082910512852158,1.169582954281715e-06,conditional,3.901569048936716e-15,True
band13_global_mae,baseline,gan_resnet,192,6751.0,0.0011164572608203796,-0.2712651122625216,small,-0.0007798559883470511,-3.4619258661504164e-06,-0.0011160702614899608,-0.00046968067030962225,-3.704508302222897e-05,3.8665293789971744e-07,-4.743448238757455,4.104132046956417e-06,baseline,0.0011164572608203796,True
band13_global_mae,baseline,conditional,192,4195.0,4.878938051802507e-11,0.5471718480138169,large,0.000190818389342801,4.465845498725007e-05,0.00012570713464181668,0.00025789797608310224,1.5217443155624749e-05,7.199018054979828e-05,5.631625146250936,6.310054573464129e-08,conditional,1.463681415540752e-10,True
band13_global_mae,gan_resnet,conditional,192,5307.0,2.862227465175307e-07,0.4271373056994819,medium,0.0009706743776898519,4.025526201959992e-05,0.0006561711935467045,0.0013242687096824903,6.45475031265004e-06,0.00013870458869327007,5.6453566712903465,5.8932785101658714e-08,conditional,5.724454930350614e-07,True
band13_mask_mae,baseline,gan_resnet,141,1812.0,4.9502544830625554e-11,-0.6379982019778244,large,-0.0027066572355608338,-0.0032714589807979998,-0.0038450077405860995,-0.0015718152565743037,-0.003779899283416299,-0.0019616666068470005,-4.767742847459824,4.6168118109468006e-06,baseline,4.9502544830625554e-11,True
